domain,entity,grain,field_name,display_name,data_type,unit,key_role,required,io_role,candidate_source,refresh,aggregation_or_rule,current_prototype_mapping,alignment_status,used_by
governance,data_load_audit,dataset x batch,source_batch_id,源批次ID,string,,PK,yes,input,data platform,per load,no aggregation,not available,to align,all pages
governance,data_load_audit,dataset x batch,dataset_code,数据集代码,string,,dimension,yes,input,data platform,per load,no aggregation,not available,to align,all pages
governance,data_load_audit,dataset x batch,source_system,源系统,string,,dimension,yes,input,data platform,per load,no aggregation,not available,to align,all pages
governance,data_load_audit,dataset x batch,period_start,数据期间开始,date,,attribute,yes,input,data platform,per load,no aggregation,not available,to align,all pages
governance,data_load_audit,dataset x batch,period_end,数据期间结束,date,,attribute,yes,input,data platform,per load,no aggregation,not available,to align,all pages
governance,data_load_audit,dataset x batch,completed_at,装载完成时间,datetime,,attribute,yes,input,data platform,per load,max for dashboard freshness,UI fixed 08:30,to align,all pages
governance,data_load_audit,dataset x batch,row_count,装载行数,integer,row,measure,no,input,data platform,per load,sum by dataset,not available,to align,all pages
governance,data_load_audit,dataset x batch,completeness_pct,数据完整度,decimal,%,measure,yes,derived,data platform,per load,required populated / required expected,UI fixed 100%,to align,all pages
governance,data_load_audit,dataset x batch,quality_status,质量状态,enum,,attribute,yes,input,data platform,per load,pass warning failed,not available,to align,all pages
master,dim_province,province,province_id,省份ID,string,,PK,yes,input,asset register or GIS,on change,no aggregation,provinceMeta key,partially available,overview filters
master,dim_province,province,province_code,行政区代码,string,,business key,yes,input,standard geography,on change,no aggregation,not available,to align,overview map
master,dim_province,province,province_name,省份名称,string,,attribute,yes,input,asset register,on change,no aggregation,provinceMeta.label,available in prototype,all pages
master,dim_province,province,center_longitude,省份中心经度,decimal,degree,attribute,no,input,GIS,on change,no aggregation,hardcoded CSS position,to align,overview map
master,dim_province,province,center_latitude,省份中心纬度,decimal,degree,attribute,no,input,GIS,on change,no aggregation,hardcoded CSS position,to align,overview map
master,dim_province,province,is_active,是否有效,boolean,,attribute,yes,input,asset register,on change,no aggregation,implicit,to align,filters
master,dim_station,station,station_id,电站ID,string,,PK,yes,input,asset register or EAM,on change,no aggregation,stationRecords.id,available in prototype,all pages
master,dim_station,station,station_code,电站编码,string,,business key,yes,input,asset register or EAM,on change,no aggregation,not available,to align,all pages
master,dim_station,station,station_name,电站名称,string,,attribute,yes,input,asset register or EAM,on change,no aggregation,stationRecords.name,available in prototype,all pages
master,dim_station,station,asset_type,资产类型,enum,,dimension,yes,input,asset register or EAM,on change,wind storage distributed,stationRecords.type,available in prototype,all pages
master,dim_station,station,province_id,所属省份,string,,FK,yes,input,asset register or EAM,on change,join dim_province,stationRecords.province,available in prototype,all pages
master,dim_station,station,owner_org_id,所属组织,string,,FK,no,input,asset register or EAM,on change,join organization,not available,to align,governance
master,dim_station,station,longitude,电站经度,decimal,degree,attribute,yes,input,GIS,on change,no aggregation,not available,to align,overview map
master,dim_station,station,latitude,电站纬度,decimal,degree,attribute,yes,input,GIS,on change,no aggregation,not available,to align,overview map
